
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All households","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"

"Camden 001A","E01000907",627,192,4,341,86,4
"Camden 001B","E01000908",827,262,2,435,116,12
"Camden 001C","E01000909",661,393,7,123,124,14
"Camden 001D","E01000912",700,209,14,359,105,13
"Camden 001E","E01000913",722,539,2,14,140,27
"Camden 002A","E01000893",715,426,5,32,244,8
"Camden 002B","E01000894",619,362,0,26,220,11
"Camden 002C","E01000895",841,300,3,203,311,24
"Camden 002D","E01000896",756,449,0,31,265,11
"Camden 002E","E01000899",698,480,0,12,171,35
"Camden 003A","E01000910",588,352,1,97,126,12
"Camden 003B","E01000911",663,287,4,263,105,4
"Camden 003C","E01000921",946,253,18,199,462,14
"Camden 003D","E01000923",656,311,2,222,116,5
"Camden 003E","E01000928",682,282,3,253,134,10
"Camden 004A","E01000878",550,306,1,62,161,20
"Camden 004B","E01000879",602,299,1,50,241,11
"Camden 004C","E01000880",621,315,0,33,259,14
"Camden 004D","E01000884",577,363,1,24,178,11
"Camden 004E","E01000885",592,348,2,50,162,30
"Camden 005A","E01000871",632,350,15,91,169,7
"Camden 005B","E01000872",913,230,7,135,535,6
"Camden 005C","E01000873",710,369,0,98,237,6
"Camden 005D","E01000874",704,394,1,21,273,15
"Camden 005E","E01000877",726,300,1,71,340,14
"Camden 006A","E01000886",606,332,2,107,156,9
"Camden 006B","E01000887",690,298,5,132,245,10
"Camden 006C","E01000888",697,285,4,214,188,6
"Camden 006D","E01000892",823,320,16,233,234,20
"Camden 006E","E01000903",686,282,4,220,168,12
"Camden 007A","E01000889",657,109,2,472,66,8
"Camden 007B","E01000890",767,67,5,635,54,6
"Camden 007C","E01000891",672,91,4,460,108,9
"Camden 007D","E01000901",703,109,25,465,94,10
"Camden 007E","E01000922",653,173,24,275,173,8
"Camden 007F","E01000927",734,362,4,158,200,10
"Camden 008A","E01000881",632,213,3,62,342,12
"Camden 008B","E01000882",728,360,3,20,330,15
"Camden 008C","E01000883",638,225,4,50,346,13
"Camden 008D","E01000897",721,429,0,16,252,24
"Camden 008E","E01000898",850,184,2,375,269,20
"Camden 009A","E01000866",926,293,9,407,204,13
"Camden 009B","E01000870",774,255,8,350,152,9
"Camden 009C","E01000924",795,321,1,197,261,15
"Camden 009D","E01000925",629,124,1,396,101,7
"Camden 009E","E01000926",698,182,2,231,272,11
"Camden 010A","E01000969",954,391,2,48,495,18
"Camden 010B","E01000970",831,316,3,61,444,7
"Camden 010C","E01000971",649,329,1,71,243,5
"Camden 010D","E01000972",949,148,9,438,338,16
"Camden 010E","E01000973",894,209,4,252,417,12
"Camden 011A","E01000842",724,359,3,83,265,14
"Camden 011B","E01000844",870,361,1,67,427,14
"Camden 011C","E01000848",805,399,3,73,312,18
"Camden 011D","E01000849",862,374,2,63,407,16
"Camden 012A","E01000900",757,234,6,325,182,10
"Camden 012B","E01000902",590,106,7,367,102,8
"Camden 012C","E01000904",918,210,8,478,220,2
"Camden 012D","E01000905",812,71,1,627,109,4
"Camden 012E","E01000906",788,392,0,101,281,14
"Camden 013A","E01000875",839,251,7,133,438,10
"Camden 013B","E01000876",800,208,7,342,233,10
"Camden 013C","E01000931",873,166,3,371,323,10
"Camden 013D","E01000932",947,320,3,261,357,6
"Camden 013E","E01000974",821,208,5,294,306,8
"Camden 014A","E01000843",846,324,1,188,322,11
"Camden 014B","E01000845",731,348,0,93,279,11
"Camden 014C","E01000846",616,158,3,359,87,9
"Camden 014D","E01000847",677,219,2,276,173,7
"Camden 015A","E01000864",717,259,1,201,249,7
"Camden 015B","E01000865",451,195,1,122,125,8
"Camden 015C","E01000867",675,126,9,306,228,6
"Camden 015D","E01000868",584,82,3,419,74,6
"Camden 015E","E01000869",967,324,2,250,378,13
"Camden 016A","E01000962",745,333,3,44,355,10
"Camden 016B","E01000964",713,245,2,216,238,12
"Camden 016C","E01000965",764,319,1,139,297,8
"Camden 016D","E01000966",675,360,1,25,284,5
"Camden 016E","E01000968",760,297,2,138,316,7
"Camden 017A","E01000960",841,284,1,145,386,25
"Camden 017B","E01000961",652,196,7,250,179,20
"Camden 017C","E01000963",851,318,2,71,406,54
"Camden 017D","E01000967",619,335,3,77,187,17
"Camden 018A","E01000857",686,299,2,166,211,8
"Camden 018B","E01000858",775,138,8,444,174,11
"Camden 018C","E01000859",807,392,7,87,308,13
"Camden 018D","E01000860",797,206,3,381,192,15
"Camden 018E","E01000862",816,480,0,52,268,16
"Camden 019A","E01000856",628,132,2,311,181,2
"Camden 019B","E01000861",729,204,2,229,287,7
"Camden 019C","E01000957",765,178,39,291,248,9
"Camden 019D","E01000958",835,118,73,394,242,8
"Camden 019E","E01000959",698,108,8,449,128,5
"Camden 020A","E01000929",685,139,3,395,137,11
"Camden 020B","E01000930",1076,179,4,496,384,13
"Camden 020C","E01000933",821,290,5,143,376,7
"Camden 020D","E01000934",732,117,52,340,200,23
"Camden 020E","E01000935",624,90,1,416,111,6
"Camden 021A","E01000863",667,153,11,132,353,18
"Camden 021B","E01000946",715,217,6,221,238,33
"Camden 021C","E01000947",871,206,6,229,421,9
"Camden 021D","E01000948",846,284,2,283,260,17
"Camden 022A","E01000952",675,101,2,411,148,13
"Camden 022B","E01000953",708,123,2,464,109,10
"Camden 022C","E01000954",642,63,1,508,64,6
"Camden 022D","E01000955",657,35,3,552,56,11
"Camden 022E","E01000956",608,74,4,353,164,13
"Camden 023A","E01000944",667,102,3,353,202,7
"Camden 023B","E01000945",611,98,3,259,240,11
"Camden 023C","E01000949",739,57,7,591,79,5
"Camden 023D","E01000950",550,75,0,369,96,10
"Camden 023E","E01000951",603,103,6,385,102,7
"Camden 024A","E01000936",536,110,5,271,138,12
"Camden 024B","E01000938",737,78,3,352,288,16
"Camden 024C","E01000939",446,51,2,284,91,18
"Camden 024D","E01000940",534,46,2,352,119,15
"Camden 025A","E01000853",840,144,4,530,149,13
"Camden 025B","E01000937",502,103,0,124,258,17
"Camden 025C","E01000941",557,56,0,429,62,10
"Camden 025D","E01000942",686,206,2,158,299,21
"Camden 025E","E01000943",596,155,0,150,270,21
"Camden 026A","E01000850",664,171,5,119,351,18
"Camden 026B","E01000851",861,218,4,147,466,26
"Camden 026C","E01000852",625,157,1,154,297,16
"Camden 026D","E01000854",718,169,2,243,273,31
"Camden 027A","E01000915",635,108,4,375,138,10
"Camden 027B","E01000916",881,252,2,338,270,19
"Camden 027C","E01000917",913,93,0,680,127,13
"Camden 027D","E01000920",946,223,0,315,383,25
"Camden 028A","E01000855",1111,412,6,185,469,39
"Camden 028B","E01000914",970,278,2,205,450,35
"Camden 028C","E01000918",935,236,8,381,288,22
"Camden 028D","E01000919",834,182,16,305,312,19
"City of London 001A","E01000001",876,533,3,41,264,35
"City of London 001B","E01000002",830,527,8,48,219,28
"City of London 001C","E01000003",817,327,1,295,177,17
"City of London 001E","E01000005",467,46,0,312,101,8
"City of London 001F","E01032739",676,192,1,11,387,85
"City of London 001G","E01032740",719,230,0,18,425,46
"Hackney 001A","E01001808",558,136,1,80,335,6
"Hackney 001B","E01001809",610,167,2,179,250,12
"Hackney 001C","E01001814",559,145,64,128,209,13
"Hackney 001D","E01001823",538,143,39,193,159,4
"Hackney 001E","E01001825",428,157,4,56,209,2
"Hackney 002A","E01001714",632,102,21,377,124,8
"Hackney 002D","E01001811",646,59,15,457,107,8
"Hackney 002E","E01001813",525,54,3,356,108,4
"Hackney 002F","E01033701",760,75,6,532,136,11
"Hackney 003A","E01001799",485,173,9,85,211,7
"Hackney 003B","E01001802",471,115,0,234,115,7
"Hackney 003C","E01001804",464,149,0,131,181,3
"Hackney 003D","E01001807",693,171,2,288,230,2
"Hackney 003E","E01001812",614,136,7,278,186,7
"Hackney 004A","E01001725",573,156,2,184,226,5
"Hackney 004B","E01001726",464,89,0,254,115,6
"Hackney 004C","E01001800",643,68,14,387,169,5
"Hackney 004D","E01001824",539,120,2,271,136,10
"Hackney 004E","E01001826",585,119,13,229,205,19
"Hackney 006A","E01001723",671,227,7,131,297,9
"Hackney 006B","E01001724",980,289,62,170,451,8
"Hackney 006C","E01001727",573,195,0,136,232,10
"Hackney 006D","E01001768",719,265,6,179,261,8
"Hackney 006E","E01001769",662,197,2,253,206,4
"Hackney 007A","E01001715",673,183,3,112,372,3
"Hackney 007B","E01001716",633,132,41,216,238,6
"Hackney 007C","E01001717",427,140,28,153,98,8
"Hackney 007D","E01001718",824,302,4,44,458,16
"Hackney 007E","E01001719",484,79,5,284,105,11
"Hackney 007F","E01001720",785,287,2,99,393,4
"Hackney 008A","E01001742",789,227,39,365,148,10
"Hackney 008B","E01001801",588,148,23,283,125,9
"Hackney 008C","E01001803",719,306,12,134,259,8
"Hackney 008D","E01001806",714,206,15,333,156,4
"Hackney 009A","E01001741",599,323,2,110,155,9
"Hackney 009B","E01001805",510,160,1,114,230,5
"Hackney 009C","E01001829",696,408,4,79,199,6
"Hackney 009D","E01001831",745,211,5,209,317,3
"Hackney 009E","E01001832",642,221,1,180,234,6
"Hackney 010A","E01001764",696,176,39,297,174,10
"Hackney 010B","E01001765",722,60,15,579,64,4
"Hackney 010D","E01001767",628,196,2,207,218,5
"Hackney 010E","E01001770",784,149,23,426,176,10
"Hackney 010F","E01033703",625,105,18,224,269,9
"Hackney 010G","E01033713",601,180,17,177,224,3
"Hackney 011A","E01001792",620,269,5,197,140,9
"Hackney 011B","E01001793",656,252,11,180,203,10
"Hackney 011C","E01001794",656,299,26,117,209,5
"Hackney 011D","E01001795",571,213,4,112,238,4
"Hackney 011E","E01001796",737,208,3,205,311,10
"Hackney 012A","E01001736",707,267,15,198,225,2
"Hackney 012B","E01001737",754,322,22,200,205,5
"Hackney 012C","E01001738",785,279,1,239,262,4
"Hackney 012D","E01001739",898,402,15,224,243,14
"Hackney 013A","E01001786",717,105,1,515,84,12
"Hackney 013B","E01001787",628,115,3,445,56,9
"Hackney 013C","E01001788",670,79,4,471,107,9
"Hackney 013D","E01001790",492,54,2,360,70,6
"Hackney 014A","E01001740",624,91,20,419,89,5
"Hackney 014B","E01001747",943,276,34,235,390,8
"Hackney 014C","E01001830",932,144,3,524,248,13
"Hackney 014D","E01001833",931,283,7,360,268,13
"Hackney 014E","E01001834",862,231,18,262,344,7
"Hackney 014F","E01001835",483,262,3,90,124,4
"Hackney 015A","E01001733",701,292,19,145,233,12
"Hackney 015B","E01001785",569,236,6,193,126,8
"Hackney 015C","E01001789",646,261,4,220,154,7
"Hackney 015D","E01001791",500,179,0,241,69,11
"Hackney 016A","E01001745",958,144,11,524,261,18
"Hackney 016B","E01001746",632,40,13,508,58,13
"Hackney 016C","E01001757",654,87,2,465,96,4
"Hackney 016D","E01001758",884,141,40,485,204,14
"Hackney 016E","E01001759",750,182,6,369,183,10
"Hackney 016F","E01001761",869,131,13,526,186,13
"Hackney 017A","E01001731",1033,166,27,543,286,11
"Hackney 017B","E01001734",849,186,6,257,392,8
"Hackney 017C","E01001760",765,134,5,317,306,3
"Hackney 017D","E01001762",820,217,10,256,326,11
"Hackney 018A","E01001846",535,96,34,321,83,1
"Hackney 018B","E01001847",467,134,7,216,106,4
"Hackney 018C","E01001848",655,164,32,310,133,16
"Hackney 018D","E01001849",977,206,92,336,333,10
"Hackney 019A","E01001729",863,100,55,557,143,8
"Hackney 019B","E01001730",801,80,21,575,118,7
"Hackney 019C","E01001732",696,75,35,487,87,12
"Hackney 019D","E01001735",661,237,5,292,118,9
"Hackney 019E","E01001838",705,71,8,561,52,13
"Hackney 019F","E01001850",676,73,2,503,92,6
"Hackney 020A","E01001748",1090,234,41,370,431,14
"Hackney 020B","E01001749",743,291,17,220,205,10
"Hackney 020C","E01001763",742,190,5,360,181,6
"Hackney 020D","E01001816",640,259,12,248,114,7
"Hackney 020E","E01001819",684,235,0,320,123,6
"Hackney 021B","E01001744",786,241,5,366,157,17
"Hackney 021C","E01001750",782,199,36,318,217,12
"Hackney 021D","E01001751",676,358,9,72,235,2
"Hackney 021E","E01001756",987,317,7,215,440,8
"Hackney 021F","E01033698",613,46,11,416,130,10
"Hackney 021G","E01033699",585,124,3,130,311,17
"Hackney 021H","E01033700",697,138,26,153,375,5
"Hackney 021I","E01033707",614,55,3,249,301,6
"Hackney 022A","E01001836",857,190,17,440,193,17
"Hackney 022B","E01001840",715,137,12,478,79,9
"Hackney 022C","E01001841",626,209,10,304,91,12
"Hackney 022D","E01001844",812,241,12,347,198,14
"Hackney 022E","E01001845",680,53,3,549,62,13
"Hackney 023B","E01001837",665,285,6,191,178,5
"Hackney 023C","E01001839",941,182,34,315,402,8
"Hackney 023D","E01001842",631,118,8,405,91,9
"Hackney 023E","E01001843",502,161,10,254,74,3
"Hackney 023F","E01033704",763,157,111,157,327,11
"Hackney 023G","E01033712",661,125,22,282,225,7
"Hackney 024A","E01001772",459,54,2,353,42,8
"Hackney 024B","E01001774",875,191,9,366,295,14
"Hackney 024C","E01001775",759,123,10,495,114,17
"Hackney 024D","E01001815",692,147,1,446,96,2
"Hackney 024E","E01001820",599,130,4,382,77,6
"Hackney 024F","E01001821",644,98,2,460,76,8
"Hackney 025A","E01001752",1060,235,148,355,311,11
"Hackney 025B","E01001753",687,62,18,512,87,8
"Hackney 025C","E01001754",1135,184,61,486,391,13
"Hackney 025D","E01001755",724,86,33,459,125,21
"Hackney 025E","E01001773",860,95,54,464,231,16
"Hackney 025F","E01001776",634,95,3,436,93,7
"Hackney 026A","E01001779",1121,174,115,589,232,11
"Hackney 026B","E01001781",731,67,1,506,140,17
"Hackney 026C","E01001782",1053,326,30,348,336,13
"Hackney 026D","E01001783",863,93,12,634,120,4
"Hackney 027B","E01001777",1043,141,24,472,396,10
"Hackney 027D","E01001780",916,138,16,560,188,14
"Hackney 027E","E01001784",797,139,2,462,180,14
"Hackney 027F","E01033706",764,135,17,134,474,4
"Hackney 027G","E01033708",862,173,2,41,622,24
"Hackney 027H","E01033709",789,71,32,451,228,7
"Hackney 027I","E01033711",501,119,5,130,241,6
"Hackney 028A","E01001798",694,147,2,344,196,5
"Hackney 028B","E01001828",831,156,28,484,156,7
"Hackney 028C","E01033702",480,94,40,194,151,1
"Hackney 028D","E01033705",576,93,10,308,157,8
"Hackney 028E","E01033710",532,85,13,108,325,1
"Hackney 029A","E01001722",860,148,23,456,221,12
"Hackney 029B","E01001728",627,115,0,275,222,15
"Hackney 029C","E01001822",706,111,3,392,190,10
"Hackney 029D","E01001827",716,120,4,416,165,11
"Hammersmith and Fulham 001A","E01001874",966,173,34,530,218,11
"Hammersmith and Fulham 001B","E01001875",666,179,2,357,114,14
"Hammersmith and Fulham 001C","E01001876",834,97,34,615,81,7
"Hammersmith and Fulham 001D","E01001877",603,150,86,184,178,5
"Hammersmith and Fulham 001E","E01001878",605,146,3,368,82,6
"Hammersmith and Fulham 002A","E01001955",674,138,8,410,102,16
"Hammersmith and Fulham 002B","E01001957",605,81,2,419,91,12
"Hammersmith and Fulham 002C","E01001958",614,55,4,484,63,8
"Hammersmith and Fulham 002D","E01001961",540,69,1,378,80,12
"Hammersmith and Fulham 003A","E01001954",649,239,6,268,123,13
"Hammersmith and Fulham 003B","E01001956",603,252,2,230,110,9
"Hammersmith and Fulham 003C","E01001959",588,199,27,278,73,11
"Hammersmith and Fulham 003D","E01001960",750,273,17,159,293,8
"Hammersmith and Fulham 004A","E01001943",905,203,40,278,374,10
"Hammersmith and Fulham 004B","E01001944",869,96,5,649,107,12
"Hammersmith and Fulham 004C","E01001945",754,279,2,242,219,12
"Hammersmith and Fulham 004D","E01001946",702,199,5,269,222,7
"Hammersmith and Fulham 005A","E01001862",830,216,4,387,211,12
"Hammersmith and Fulham 005B","E01001940",740,148,27,284,271,10
"Hammersmith and Fulham 005C","E01001941",717,172,20,148,372,5
"Hammersmith and Fulham 005D","E01001942",865,235,7,234,367,22
"Hammersmith and Fulham 006A","E01001858",732,208,25,268,220,11
"Hammersmith and Fulham 006B","E01001860",795,155,26,351,254,9
"Hammersmith and Fulham 006C","E01001861",654,197,6,261,184,6
"Hammersmith and Fulham 006D","E01001863",671,306,15,156,189,5
"Hammersmith and Fulham 006E","E01001864",761,227,18,226,279,11
"Hammersmith and Fulham 007A","E01001852",956,375,6,146,423,6
"Hammersmith and Fulham 007B","E01001853",695,297,2,116,274,6
"Hammersmith and Fulham 007C","E01001854",887,324,6,195,351,11
"Hammersmith and Fulham 007D","E01001857",733,132,3,386,203,9
"Hammersmith and Fulham 008A","E01001859",1140,351,84,399,296,10
"Hammersmith and Fulham 008B","E01001865",651,318,2,120,204,7
