
"KS403EW - Rooms, bedrooms and central heating"
"ONS Crown Copyright Reserved [from Nomis on 25 January 2017]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 super output area - lower layer","mnemonic","All categories: Type of central heating in household","Does not have central heating","Does have central heating","Occupancy rating (rooms) of -1 or less","Occupancy rating (bedrooms) of -1 or less","Average household size","Average number of rooms per household","Average number of bedrooms per household"

"Camden 001A","E01000907",627,9,618,143,85,2.3,4.2,2.2
"Camden 001B","E01000908",827,51,776,223,71,1.9,3.8,1.9
"Camden 001C","E01000909",661,16,645,69,32,2.4,5.6,3.0
"Camden 001D","E01000912",700,6,694,149,74,2.3,4.4,2.4
"Camden 001E","E01000913",722,14,708,58,25,2.4,6.1,3.1
"Camden 002A","E01000893",715,26,689,145,37,2.2,4.8,2.4
"Camden 002B","E01000894",619,10,609,85,20,2.2,5.3,2.7
"Camden 002C","E01000895",841,21,820,164,46,1.9,4.2,2.0
"Camden 002D","E01000896",756,16,740,134,35,2.2,5.2,2.6
"Camden 002E","E01000899",698,17,681,44,13,2.3,6.0,2.8
"Camden 003A","E01000910",588,11,577,88,34,2.5,5.5,2.8
"Camden 003B","E01000911",663,12,651,129,57,2.3,4.5,2.3
"Camden 003C","E01000921",946,53,893,400,93,2.1,3.6,1.9
"Camden 003D","E01000923",656,16,640,152,54,2.2,4.4,2.3
"Camden 003E","E01000928",682,16,666,197,90,2.4,4.4,2.3
"Camden 004A","E01000878",550,6,544,77,35,2.3,5.1,2.6
"Camden 004B","E01000879",602,14,588,108,33,2.2,4.8,2.4
"Camden 004C","E01000880",621,15,606,103,41,2.5,5.2,2.7
"Camden 004D","E01000884",577,5,572,67,20,2.5,6.3,3.2
"Camden 004E","E01000885",592,9,583,39,12,2.4,6.0,3.1
"Camden 005A","E01000871",632,10,622,133,55,2.6,5.5,3.1
"Camden 005B","E01000872",913,69,844,418,113,2.1,3.7,2.1
"Camden 005C","E01000873",710,18,692,155,49,2.3,4.7,2.5
"Camden 005D","E01000874",704,24,680,125,35,2.2,4.8,2.6
"Camden 005E","E01000877",726,18,708,235,47,2.1,4.1,2.2
"Camden 006A","E01000886",606,20,586,128,57,2.4,4.7,2.5
"Camden 006B","E01000887",690,24,666,163,62,2.1,4.3,2.2
"Camden 006C","E01000888",697,33,664,160,57,2.3,4.5,2.4
"Camden 006D","E01000892",823,15,808,231,77,2.2,4.3,2.3
"Camden 006E","E01000903",686,22,664,175,54,2.1,4.1,2.1
"Camden 007A","E01000889",657,20,637,171,109,2.5,4.1,2.2
"Camden 007B","E01000890",767,22,745,286,130,2.1,3.6,1.9
"Camden 007C","E01000891",672,14,658,383,137,2.3,3.4,1.9
"Camden 007D","E01000901",703,11,692,305,151,2.6,3.8,2.0
"Camden 007E","E01000922",653,15,638,245,81,2.4,4.0,2.3
"Camden 007F","E01000927",734,11,723,170,81,2.4,4.4,2.3
"Camden 008A","E01000881",632,22,610,193,45,2.3,4.2,2.3
"Camden 008B","E01000882",728,35,693,158,50,2.1,4.3,2.2
"Camden 008C","E01000883",638,20,618,192,45,2.1,3.9,2.1
"Camden 008D","E01000897",721,18,703,75,21,2.2,5.0,2.5
"Camden 008E","E01000898",850,15,835,412,95,2.0,3.5,1.9
"Camden 009A","E01000866",926,29,897,333,134,2.2,4.0,2.0
"Camden 009B","E01000870",774,25,749,269,97,2.2,4.0,2.1
"Camden 009C","E01000924",795,17,778,264,90,2.1,3.8,2.0
"Camden 009D","E01000925",629,13,616,258,98,2.5,4.0,2.2
"Camden 009E","E01000926",698,14,684,230,106,2.6,4.2,2.3
"Camden 010A","E01000969",954,38,916,220,52,2.1,4.3,2.3
"Camden 010B","E01000970",831,56,775,305,51,1.7,3.3,1.7
"Camden 010C","E01000971",649,34,615,141,54,2.3,4.8,2.6
"Camden 010D","E01000972",949,38,911,358,130,2.1,3.6,1.9
"Camden 010E","E01000973",894,46,848,333,102,2.1,3.7,2.0
"Camden 011A","E01000842",724,27,697,154,32,1.9,4.1,2.0
"Camden 011B","E01000844",870,55,815,233,45,2.0,4.1,2.2
"Camden 011C","E01000848",805,31,774,165,38,2.0,4.2,2.1
"Camden 011D","E01000849",862,49,813,299,46,1.8,3.7,1.9
"Camden 012A","E01000900",757,21,736,203,90,2.4,4.3,2.3
"Camden 012B","E01000902",590,11,579,219,105,2.5,4.0,2.1
"Camden 012C","E01000904",918,17,901,299,135,2.3,3.9,2.1
"Camden 012D","E01000905",812,16,796,334,176,2.4,3.7,2.0
"Camden 012E","E01000906",788,15,773,211,80,1.9,3.9,2.0
"Camden 013A","E01000875",839,33,806,294,83,2.0,3.7,2.0
"Camden 013B","E01000876",800,13,787,265,107,2.2,3.8,2.0
"Camden 013C","E01000931",873,40,833,409,156,2.2,3.4,1.8
"Camden 013D","E01000932",947,19,928,262,110,1.9,3.8,1.9
"Camden 013E","E01000974",821,34,787,303,108,2.1,3.6,1.9
"Camden 014A","E01000843",846,29,817,327,124,2.0,3.5,1.8
"Camden 014B","E01000845",731,25,706,167,44,2.0,4.2,2.1
"Camden 014C","E01000846",616,18,598,182,95,2.4,4.3,2.3
"Camden 014D","E01000847",677,20,657,169,83,2.5,4.5,2.4
"Camden 015A","E01000864",717,23,694,210,84,2.1,4.0,2.0
"Camden 015B","E01000865",451,3,448,95,24,2.2,4.7,2.4
"Camden 015C","E01000867",675,20,655,272,112,2.4,3.8,2.0
"Camden 015D","E01000868",584,19,565,273,140,2.5,3.5,1.8
"Camden 015E","E01000869",967,33,934,340,113,2.2,3.9,2.1
"Camden 016A","E01000962",745,15,730,159,56,2.1,4.0,2.1
"Camden 016B","E01000964",713,18,695,159,55,2.2,4.3,2.3
"Camden 016C","E01000965",764,34,730,205,64,2.0,4.0,2.1
"Camden 016D","E01000966",675,20,655,115,27,2.2,4.6,2.4
"Camden 016E","E01000968",760,19,741,177,65,2.0,4.0,1.9
"Camden 017A","E01000960",841,35,806,287,108,2.1,3.9,2.0
"Camden 017B","E01000961",652,10,642,187,116,2.4,4.4,2.3
"Camden 017C","E01000963",851,35,816,148,45,2.2,4.6,2.5
"Camden 017D","E01000967",619,14,605,106,28,2.3,5.3,2.7
"Camden 018A","E01000857",686,19,667,158,39,2.1,4.5,2.3
"Camden 018B","E01000858",775,20,755,279,120,2.4,4.0,2.1
"Camden 018C","E01000859",807,34,773,229,43,2.0,4.4,2.2
"Camden 018D","E01000860",797,21,776,368,37,1.6,3.4,1.8
"Camden 018E","E01000862",816,27,789,181,48,2.1,4.6,2.2
"Camden 019A","E01000856",628,11,617,230,106,2.6,4.1,2.2
"Camden 019B","E01000861",729,64,665,320,110,2.2,3.7,2.0
"Camden 019C","E01000957",765,21,744,217,110,2.3,3.8,2.0
"Camden 019D","E01000958",835,16,819,310,140,2.5,4.0,2.2
"Camden 019E","E01000959",698,10,688,302,124,2.4,3.8,2.2
"Camden 020A","E01000929",685,11,674,206,122,2.4,4.1,2.1
"Camden 020B","E01000930",1076,41,1035,497,118,1.8,3.1,1.6
"Camden 020C","E01000933",821,53,768,240,80,2.0,3.9,2.0
"Camden 020D","E01000934",732,36,696,342,123,2.1,3.4,1.8
"Camden 020E","E01000935",624,18,606,247,135,2.3,3.6,1.8
"Camden 021A","E01000863",667,32,635,263,60,2.1,3.9,2.0
"Camden 021B","E01000946",715,19,696,248,76,2.1,4.3,2.2
"Camden 021C","E01000947",871,41,830,444,150,2.2,3.6,2.0
"Camden 021D","E01000948",846,42,804,266,84,2.0,4.2,2.0
"Camden 022A","E01000952",675,10,665,261,148,2.6,4.0,2.2
"Camden 022B","E01000953",708,12,696,231,127,2.3,3.8,2.0
"Camden 022C","E01000954",642,3,639,234,163,2.6,3.8,1.9
"Camden 022D","E01000955",657,10,647,246,120,2.3,3.8,2.0
"Camden 022E","E01000956",608,29,579,271,125,2.5,3.7,2.0
"Camden 023A","E01000944",667,8,659,291,150,2.8,4.2,2.5
"Camden 023B","E01000945",611,33,578,286,116,2.4,3.7,2.1
"Camden 023C","E01000949",739,13,726,206,109,2.1,3.6,1.8
"Camden 023D","E01000950",550,34,516,262,139,2.6,3.6,2.0
"Camden 023E","E01000951",603,15,588,258,131,2.6,3.8,2.1
"Camden 024A","E01000936",536,47,489,254,104,2.5,3.9,2.2
"Camden 024B","E01000938",737,42,695,387,157,2.3,3.5,1.9
"Camden 024C","E01000939",446,10,436,182,97,2.7,3.9,2.1
"Camden 024D","E01000940",534,17,517,249,74,2.1,3.3,1.8
"Camden 025A","E01000853",840,23,817,301,114,1.9,3.3,1.6
"Camden 025B","E01000937",502,31,471,293,69,1.9,2.9,1.6
"Camden 025C","E01000941",557,20,537,222,126,2.2,3.5,1.7
"Camden 025D","E01000942",686,65,621,284,89,1.7,3.2,1.5
"Camden 025E","E01000943",596,45,551,294,59,1.7,2.9,1.5
"Camden 026A","E01000850",664,52,612,241,68,1.9,3.6,1.9
"Camden 026B","E01000851",861,59,802,429,107,1.9,3.3,1.8
"Camden 026C","E01000852",625,18,607,299,54,1.6,3.1,1.7
"Camden 026D","E01000854",718,24,694,362,148,2.3,3.6,2.0
"Camden 027A","E01000915",635,27,608,223,115,2.4,4.0,2.0
"Camden 027B","E01000916",881,52,829,377,111,2.0,3.4,1.8
"Camden 027C","E01000917",913,21,892,366,150,2.0,3.4,1.6
